ID,User_Query,Chatbot_Response,Category
1,Can you assist me?,Have a great day!,General
2,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
3,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
4,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
5,Can you assist me?,I’m here to help with any questions you have.,General
6,Good morning!,Have a great day!,General
7,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
8,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
9,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
10,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
11,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
12,How can I get a refund?,Refunds are processed within 5-7 business days.,Policy Info
13,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
14,How can I change my email address?,Your account details have been successfully updated.,Account Help
15,Thank you for your help!,Have a great day!,General
16,Good morning!,I’m here to help with any questions you have.,General
17,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
18,Good morning!,Have a great day!,General
19,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
20,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
21,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
22,Can you check the status of my order?,I have updated your order details as requested.,Order Support
23,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
24,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
25,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
26,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
27,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
28,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
29,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
30,How can I get a refund?,Refunds are processed within 5-7 business days.,Policy Info
31,Can you assist me?,I’m here to help with any questions you have.,General
32,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
33,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
34,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
35,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
36,I forgot my password.,Your account details have been successfully updated.,Account Help
37,How can I get a refund?,Refunds are processed within 5-7 business days.,Policy Info
38,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
39,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
40,I want to delete my account.,Your account details have been successfully updated.,Account Help
41,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
42,Good morning!,Have a great day!,General
43,Thank you for your help!,Have a great day!,General
44,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
45,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
46,Good morning!,Have a great day!,General
47,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
48,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
49,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
50,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
51,How can I change my email address?,Your account details have been successfully updated.,Account Help
52,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
53,Thank you for your help!,I’m here to help with any questions you have.,General
54,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
55,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
56,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
57,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
58,How can I change my email address?,Your account details have been successfully updated.,Account Help
59,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
60,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
61,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
62,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
63,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
64,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
65,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
66,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
67,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
68,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
69,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
70,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
71,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
72,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
73,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
74,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
75,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
76,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
77,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
78,Thank you for your help!,I’m here to help with any questions you have.,General
79,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
80,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
81,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
82,Can you check the status of my order?,I have updated your order details as requested.,Order Support
83,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
84,Thank you for your help!,Have a great day!,General
85,How can I change my email address?,Your account details have been successfully updated.,Account Help
86,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
87,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
88,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
89,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
90,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
91,Can you check the status of my order?,I have updated your order details as requested.,Order Support
92,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
93,Good morning!,Have a great day!,General
94,I want to delete my account.,Your account details have been successfully updated.,Account Help
95,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
96,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
97,Where is my order?,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
98,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
99,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
100,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
101,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
102,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
103,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
104,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
105,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
106,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
107,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
108,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
109,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
110,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
111,Can you assist me?,Have a great day!,General
112,Thank you for your help!,Have a great day!,General
113,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
114,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
115,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
116,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
117,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
118,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
119,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
120,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
121,Can you assist me?,Have a great day!,General
122,I want to delete my account.,Your account details have been successfully updated.,Account Help
123,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
124,Can you check the status of my order?,I have updated your order details as requested.,Order Support
125,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
126,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
127,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
128,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
129,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
130,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
131,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
132,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
133,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
134,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
135,Can you check the status of my order?,I have updated your order details as requested.,Order Support
136,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
137,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
138,Can you assist me?,I’m here to help with any questions you have.,General
139,How can I change my email address?,Your account details have been successfully updated.,Account Help
140,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
141,Can you check the status of my order?,I have updated your order details as requested.,Order Support
142,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
143,Can you assist me?,I’m here to help with any questions you have.,General
144,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
145,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
146,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
147,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
148,Can you assist me?,I’m here to help with any questions you have.,General
149,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
150,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
151,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
152,How can I change my email address?,Your account details have been successfully updated.,Account Help
153,Thank you for your help!,Have a great day!,General
154,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
155,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
156,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
157,Can you assist me?,I’m here to help with any questions you have.,General
158,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
159,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
160,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
161,I want to delete my account.,Your account details have been successfully updated.,Account Help
162,Thank you for your help!,I’m here to help with any questions you have.,General
163,Can you check the status of my order?,I have updated your order details as requested.,Order Support
164,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
165,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
166,Thank you for your help!,I’m here to help with any questions you have.,General
167,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
168,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
169,Can you check the status of my order?,I have updated your order details as requested.,Order Support
170,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
171,I forgot my password.,Your account details have been successfully updated.,Account Help
172,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
173,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
174,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
175,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
176,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
177,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
178,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
179,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
180,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
181,Can you check the status of my order?,I have updated your order details as requested.,Order Support
182,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
183,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
184,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
185,I want to delete my account.,Your account details have been successfully updated.,Account Help
186,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
187,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
188,Good morning!,Have a great day!,General
189,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
190,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
191,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
192,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
193,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
194,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
195,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
196,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
197,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
198,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
199,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
200,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
201,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
202,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
203,Can you assist me?,I’m here to help with any questions you have.,General
204,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
205,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
206,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
207,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
208,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
209,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
210,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
211,Good morning!,Have a great day!,General
212,Thank you for your help!,Have a great day!,General
213,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
214,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
215,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
216,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
217,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
218,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
219,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
220,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
221,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
222,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
223,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
224,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
225,"Hi, I need help with my order.",I have updated your order details as requested.,Order Support
226,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
227,My package hasn’t arrived yet.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
228,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
229,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
230,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
231,How can I change my email address?,Your account details have been successfully updated.,Account Help
232,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
233,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
234,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
235,I forgot my password.,Your account details have been successfully updated.,Account Help
236,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
237,Good morning!,I’m here to help with any questions you have.,General
238,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
239,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
240,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
241,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
242,I forgot my password.,Your account details have been successfully updated.,Account Help
243,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
244,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
245,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
246,Can you check the status of my order?,Your order has been confirmed and is being processed.,Order Support
247,How can I change my email address?,Your account details have been successfully updated.,Account Help
248,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
249,Can you assist me?,Have a great day!,General
250,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
251,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
252,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
253,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
254,Thank you for your help!,Have a great day!,General
255,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
256,I forgot my password.,Your account details have been successfully updated.,Account Help
257,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
258,My package hasn’t arrived yet.,Your package is out for delivery and should arrive today.,Delivery Issue
259,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
260,What is your return policy?,Our warranty policy covers products for up to one year.,Policy Info
261,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
262,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
263,Good morning!,I’m here to help with any questions you have.,General
264,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
265,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
266,Can you assist me?,I’m here to help with any questions you have.,General
267,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
268,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
269,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
270,I want to delete my account.,Please visit the account settings to manage your preferences.,Account Help
271,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
272,Good morning!,I’m here to help with any questions you have.,General
273,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
274,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
275,How long is the warranty period?,You can return products within 30 days of purchase.,Policy Info
276,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
277,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
278,The delivery is late.,We’re investigating the delay and will update you shortly.,Delivery Issue
279,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
280,Where is my order?,We’re investigating the delay and will update you shortly.,Delivery Issue
281,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
282,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
283,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
284,Thank you for your help!,You’re welcome! Is there anything else I can assist you with?,General
285,How can I change my email address?,Your account details have been successfully updated.,Account Help
286,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
287,I forgot my password.,Your account details have been successfully updated.,Account Help
288,Good morning!,Have a great day!,General
289,I want to cancel my recent order.,Your order has been confirmed and is being processed.,Order Support
290,I want to delete my account.,Your account details have been successfully updated.,Account Help
291,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
292,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
293,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
294,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
295,I want to cancel my recent order.,I have updated your order details as requested.,Order Support
296,I want to cancel my recent order.,Sure! Could you please provide your order number?,Order Support
297,How can I get a refund?,You can return products within 30 days of purchase.,Policy Info
298,How can I change my email address?,Your account details have been successfully updated.,Account Help
299,Good morning!,You’re welcome! Is there anything else I can assist you with?,General
300,I want to delete my account.,Your account details have been successfully updated.,Account Help
301,Can you check the status of my order?,I have updated your order details as requested.,Order Support
302,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
303,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
304,How can I change my email address?,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
305,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
306,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
307,I want to delete my account.,Your account details have been successfully updated.,Account Help
308,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
309,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
310,What is your return policy?,Refunds are processed within 5-7 business days.,Policy Info
311,The delivery is late.,Your package is out for delivery and should arrive today.,Delivery Issue
312,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
313,My package hasn’t arrived yet.,We’re investigating the delay and will update you shortly.,Delivery Issue
314,I forgot my password.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
315,I forgot my password.,Please visit the account settings to manage your preferences.,Account Help
316,Thank you for your help!,Have a great day!,General
317,Good morning!,Have a great day!,General
318,"Hi, I need help with my order.",Sure! Could you please provide your order number?,Order Support
319,How long is the warranty period?,Our warranty policy covers products for up to one year.,Policy Info
320,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
321,I want to delete my account.,Your account details have been successfully updated.,Account Help
322,Thank you for your help!,I’m here to help with any questions you have.,General
323,The delivery is late.,I’m sorry to hear that. Could you share your tracking number?,Delivery Issue
324,How can I get a refund?,Our warranty policy covers products for up to one year.,Policy Info
325,What is your return policy?,You can return products within 30 days of purchase.,Policy Info
326,"Hi, I need help with my order.",Your order has been confirmed and is being processed.,Order Support
327,Can you assist me?,You’re welcome! Is there anything else I can assist you with?,General
328,Can you check the status of my order?,Sure! Could you please provide your order number?,Order Support
329,I want to delete my account.,"Yes, you can reset your password using the ""Forgot Password"" link.",Account Help
330,Can you check the status of my order?,I have updated your order details as requested.,Order Support
331,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
332,How can I change my email address?,Please visit the account settings to manage your preferences.,Account Help
333,Where is my order?,Your package is out for delivery and should arrive today.,Delivery Issue
334,How long is the warranty period?,Refunds are processed within 5-7 business days.,Policy Info
